#OOP for DC motor P Control v.1.0
#kp = 1.00
709.00,13,138
712.00,11,139
714.00,10,141
716.00,8,142
718.00,6,144
720.00,5,145
722.00,3,147
724.00,2,149
726.00,0,150
728.00,-1,152
730.00,-3,153
732.00,-4,154
734.00,-6,156
736.00,-7,157
738.00,-8,158
740.00,-9,160
742.00,-11,161
744.00,-12,162
746.00,-13,163
748.00,-14,164
750.00,-15,165
752.00,-16,166
755.00,-17,167
757.00,-17,168
759.00,-18,168
761.00,-19,169
763.00,-20,170
765.00,-20,171
767.00,-21,171
769.00,-22,172
771.00,-22,172
773.00,-23,173
775.00,-23,174
777.00,-24,174
779.00,-24,174
781.00,-25,175
783.00,-25,175
785.00,-26,176
787.00,-26,176
789.00,-26,176
791.00,-27,177
793.00,-27,177
795.00,-27,177
798.00,-27,177
800.00,-27,177
802.00,-28,178
804.00,-28,178
806.00,-28,178
808.00,-28,178
810.00,-28,178
812.00,-28,178
814.00,-28,178
816.00,-28,178
818.00,-28,178
820.00,-28,178
822.00,-28,178
824.00,-28,178
826.00,-28,178
828.00,-28,178
830.00,-28,178
832.00,-28,178
834.00,-28,178
836.00,-28,178
839.00,-28,178
841.00,-28,178
843.00,-27,177
845.00,-27,177
847.00,-27,177
849.00,-27,177
851.00,-27,177
853.00,-27,177
855.00,-27,177
857.00,-27,177
859.00,-27,177
861.00,-27,177
863.00,-27,176
865.00,-26,176
867.00,-26,176
869.00,-26,176
871.00,-26,176
873.00,-26,176
875.00,-26,176
877.00,-25,175
879.00,-25,175
882.00,-25,175
884.00,-25,175
886.00,-25,175
888.00,-25,175
890.00,-24,174
892.00,-24,174
894.00,-24,174
896.00,-24,174
898.00,-24,174
900.00,-24,174
902.00,-23,173
904.00,-23,173
906.00,-23,173
908.00,-23,173
910.00,-23,173
912.00,-23,173
914.00,-22,172
916.00,-22,172
918.00,-22,172
920.00,-22,172
922.00,-22,172
925.00,-21,171
927.00,-21,171
929.00,-21,171
931.00,-21,171
933.00,-21,171
935.00,-21,171
937.00,-20,170
939.00,-20,170
941.00,-20,170
943.00,-20,170
945.00,-20,170
947.00,-19,169
949.00,-19,169
951.00,-19,169
953.00,-19,169
955.00,-19,169
957.00,-19,168
959.00,-18,168
961.00,-18,168
963.00,-18,168
965.00,-18,168
968.00,-18,168
970.00,-17,167
972.00,-17,167
974.00,-17,167
976.00,-17,167
978.00,-17,167
980.00,-17,167
982.00,-16,166
984.00,-16,166
