1,0
4,0
6,0
9,0
11,0
14,0
16,0
19,0
22,0
24,0
27,0
29,0
32,0
35,0
37,0
40,0
42,0
45,0
48,0
50,0
53,0
55,0
58,0
61,0
63,0
66,1
68,1
71,2
74,3
76,4
79,5
81,6
84,7
87,9
89,10
92,11
94,13
97,14
100,15
102,17
105,18
108,20
110,21
113,23
115,24
118,26
121,27
124,29
126,30
129,32
131,33
134,35
137,36
139,38
142,39
145,40
147,41
150,43
153,44
155,45
158,46
161,47
163,48
166,49
168,50
171,50
174,51
176,52
179,52
182,53
184,53
187,53
190,53
192,53
195,54
197,54
200,53
203,53
205,53
208,53
211,52
213,52
216,51
219,51
221,50
224,49
227,48
229,48
232,47
235,46
237,45
240,44
243,43
245,41
248,40
250,39
253,37
256,36
258,34
261,33
264,31
266,30
269,28
272,26
274,25
277,23
280,21
282,19
285,18
287,16
290,14
293,12
296,10
298,8
301,6
303,5
306,3
309,1
311,-1
314,-3
316,-5
319,-7
322,-8
324,-10
327,-12
330,-13
332,-15
335,-17
338,-18
340,-20
343,-21
346,-23
348,-24
351,-25
353,-27
356,-28
359,-29
362,-30
364,-31
367,-32
369,-33
372,-34
375,-35
377,-36
380,-36
383,-37
385,-37
388,-38
391,-38
393,-39
396,-39
399,-39
401,-39
404,-39
406,-39
409,-39
412,-38
414,-38
417,-38
420,-37
422,-37
425,-36
428,-36
430,-35
433,-35
436,-34
438,-33
441,-32
444,-31
446,-30
449,-29
452,-28
454,-27
457,-26
460,-25
462,-24
465,-23
467,-21
470,-20
473,-19
475,-17
478,-16
481,-15
483,-13
486,-12
489,-10
491,-9
494,-8
497,-6
499,-5
502,-3
504,-2
507,0
510,1
512,3
515,4
518,5
520,7
523,8
525,9
528,11
531,12
533,13
536,15
539,16
541,17
544,18
547,20
549,21
552,22
555,23
557,24
560,25
562,26
565,27
568,27
570,28
573,29
576,30
578,30
581,31
584,31
586,32
589,32
591,32
594,33
597,33
599,33
602,33
605,33
607,33
610,33
613,33
615,33
618,33
621,32
623,32
626,32
628,31
631,31
634,30
637,30
639,29
642,29
644,28
647,27
650,26
652,26
655,25
658,24
660,23
663,23
666,22
668,21
671,20
674,19
676,18
679,17
681,16
684,15
687,14
689,13
692,12
695,11
697,10
700,9
703,7
705,6
708,5
710,4
713,3
716,2
718,1
721,0
724,-1
726,-2
729,-3
732,-4
734,-5
737,-6
739,-7
742,-7
745,-8
747,-9
750,-10
753,-11
755,-11
758,-12
761,-13
763,-14
766,-15
768,-17
771,-18
774,-20
776,-22
779,-24
782,-27
784,-29
787,-32
790,-34
792,-37
795,-40
798,-43
800,-45
803,-48
805,-51
808,-54
811,-57
814,-59
816,-62
819,-64
821,-67
824,-69
827,-71
829,-73
832,-75
835,-76
837,-78
840,-79
843,-80
845,-81
848,-81
851,-82
853,-82
856,-83
858,-83
861,-83
864,-83
867,-82
869,-82
872,-82
874,-81
877,-80
880,-79
882,-78
885,-77
888,-76
890,-74
893,-73
896,-71
898,-69
901,-67
904,-65
906,-63
909,-61
911,-59
914,-56
917,-54
919,-51
922,-49
925,-46
927,-43
930,-40
933,-37
935,-34
938,-31
941,-28
943,-25
946,-22
949,-18
951,-15
954,-12
957,-9
959,-5
962,-2
964,1
967,5
970,8
972,11
975,14
978,18
980,21
983,24
986,27
988,30
991,33
993,36
996,39
999,42
1000,45
