i = 82, dt = 567, dt_send = 143, dt_receive = 151, sent = 97, received = 97
i = 83, dt = 549, dt_send = 144, dt_receive = 152, sent = 98, received = 98
i = 84, dt = 549, dt_send = 146, dt_receive = 154, sent = 99, received = 99
i = 85, dt = 555, dt_send = 146, dt_receive = 152, sent = 100, received = 100
i = 86, dt = 557, dt_send = 143, dt_receive = 153, sent = 101, received = 101
i = 87, dt = 551, dt_send = 143, dt_receive = 152, sent = 102, received = 102
i = 88, dt = 547, dt_send = 143, dt_receive = 154, sent = 103, received = 103
i = 89, dt = 562, dt_send = 149, dt_receive = 152, sent = 104, received = 104
i = 90, dt = 555, dt_send = 145, dt_receive = 152, sent = 105, received = 105
i = 91, dt = 552, dt_send = 145, dt_receive = 152, sent = 106, received = 106
i = 92, dt = 552, dt_send = 145, dt_receive = 154, sent = 107, received = 107
i = 93, dt = 591, dt_send = 144, dt_receive = 152, sent = 108, received = 108
i = 94, dt = 568, dt_send = 149, dt_receive = 152, sent = 109, received = 109
i = 95, dt = 553, dt_send = 143, dt_receive = 152, sent = 110, received = 110
i = 96, dt = 549, dt_send = 116, dt_receive = 80, sent = 111, received = 111
i = 97, dt = 397, dt_send = 73, dt_receive = 81, sent = 112, received = 112
i = 98, dt = 353, dt_send = 73, dt_receive = 82, sent = 113, received = 113
i = 99, dt = 375, dt_send = 80, dt_receive = 83, sent = 114, received = 114
