Time [s],Channel 0,Channel 1,Channel 2,Channel 3
-2.355914340,0,0,0,0
-0.000000000,1,0,0,0
0.000008460,1,1,0,0
0.000045800,1,1,0,1
0.000061700,1,1,0,0
0.000534120,1,1,1,0
0.000541560,1,1,0,0
0.000582820,1,1,1,0
0.000590420,1,1,0,0
0.000631640,1,1,1,0
0.000639380,1,1,0,0
0.001050560,0,1,0,0
0.001059600,0,0,0,0
0.001096940,0,0,0,1
0.001112940,0,0,0,0
0.001520060,0,0,1,0
0.001527660,0,0,0,0
0.001568760,0,0,1,0
0.001576360,0,0,0,0
0.001617520,0,0,1,0
0.001625240,0,0,0,0
0.003063120,1,0,0,0
0.003072220,1,1,0,0
0.003109000,1,1,0,1
0.003125000,1,1,0,0
0.003531740,1,1,1,0
0.003539360,1,1,0,0
0.003580580,1,1,1,0
0.003588180,1,1,0,0
0.003629260,1,1,1,0
0.003637000,1,1,0,0
0.005063660,0,1,0,0
0.005072720,0,0,0,0
0.005109940,0,0,0,1
0.005125940,0,0,0,0
0.005533000,0,0,1,0
0.005540600,0,0,0,0
0.005581820,0,0,1,0
0.005589420,0,0,0,0
0.005630640,0,0,1,0
0.005638380,0,0,0,0
0.007065060,1,0,0,0
0.007074160,1,1,0,0
0.007110880,1,1,0,1
0.007126880,1,1,0,0
0.007534120,1,1,1,0
0.007541740,1,1,0,0
0.007582900,1,1,1,0
0.007590480,1,1,0,0
0.007631580,1,1,1,0
0.007639320,1,1,0,0
0.009050340,0,1,0,0
0.009059300,0,0,0,0
0.009096520,0,0,0,1
0.009112500,0,0,0,0
0.009519380,0,0,1,0
0.009527000,0,0,0,0
0.009568200,0,0,1,0
0.009575800,0,0,0,0
0.009616900,0,0,1,0
0.009624620,0,0,0,0
0.011050240,1,0,0,0
0.011059340,1,1,0,0
0.011096200,1,1,0,1
0.011112200,1,1,0,0
0.011519440,1,1,1,0
0.011527060,1,1,0,0
0.011568200,1,1,1,0
0.011575800,1,1,0,0
0.011617020,1,1,1,0
0.011624760,1,1,0,0
0.013050320,0,1,0,0
0.013059360,0,0,0,0
0.013096700,0,0,0,1
0.013112700,0,0,0,0
0.013519700,0,0,1,0
0.013527300,0,0,0,0
0.013568400,0,0,1,0
0.013576000,0,0,0,0
0.013617220,0,0,1,0
0.013624940,0,0,0,0
0.015060900,1,0,0,0
0.015070040,1,1,0,0
0.015106780,1,1,0,1
0.015122760,1,1,0,0
0.015530260,1,1,1,0
0.015537880,1,1,0,0
0.015579100,1,1,1,0
0.015586680,1,1,0,0
0.015627780,1,1,1,0
0.015635520,1,1,0,0
0.017061740,0,1,0,0
0.017070740,0,0,0,0
0.017107900,0,0,0,1
0.017123900,0,0,0,0
0.017530840,0,0,1,0
0.017538440,0,0,0,0
0.017579720,0,0,1,0
0.017587320,0,0,0,0
0.017628400,0,0,1,0
0.017636140,0,0,0,0
0.019062680,1,0,0,0
0.019071800,1,1,0,0
0.019108460,1,1,0,1
0.019124460,1,1,0,0
0.019531340,1,1,1,0
0.019538940,1,1,0,0
0.019580160,1,1,1,0
0.019587760,1,1,0,0
0.019628840,1,1,1,0
0.019636580,1,1,0,0
0.021063580,0,1,0,0
0.021072620,0,0,0,0
0.021109720,0,0,0,1
0.021125720,0,0,0,0
0.021532580,0,0,1,0
0.021540200,0,0,0,0
0.021581420,0,0,1,0
0.021589020,0,0,0,0
0.021630160,0,0,1,0
0.021637900,0,0,0,0
0.023050420,1,0,0,0
0.023059480,1,1,0,0
0.023096480,1,1,0,1
0.023112460,1,1,0,0
0.023519220,1,1,1,0
0.023526820,1,1,0,0
0.023567980,1,1,1,0
0.023575580,1,1,0,0
0.023616780,1,1,1,0
0.023624540,1,1,0,0
0.025062400,0,1,0,0
0.025071380,0,0,0,0
0.025108720,0,0,0,1
0.025124720,0,0,0,0
0.025531840,0,0,1,0
0.025539460,0,0,0,0
0.025580540,0,0,1,0
0.025588140,0,0,0,0
0.025629360,0,0,1,0
0.025637100,0,0,0,0
0.027065460,1,0,0,0
0.027074560,1,1,0,0
0.027111220,1,1,0,1
0.027127220,1,1,0,0
0.027534280,1,1,1,0
